Recording timestamp	Computer timestamp	Sensor	Project name	Export date	Participant name	Recording name	Variable1	Recording date	Recording date UTC	Recording start time	Recording start time UTC	Recording duration	Recording Fixation filter name	Recording software version	Recording resolution height	Recording resolution width	Recording monitor latency	Average calibration accuracy (mm)	Average calibration precision SD (mm)	Average calibration precision RMS (mm)	Average calibration accuracy (degrees)	Average calibration precision SD (degrees)	Average calibration precision RMS (degrees)	Average calibration accuracy (pixels)	Average calibration precision SD (pixels)	Average calibration precision RMS (pixels)	Average validation accuracy (mm)	Average validation precision SD (mm)	Average validation precision RMS (mm)	Average validation accuracy (degrees)	Average validation precision SD (degrees)	Average validation precision RMS (degrees)	Average validation accuracy (pixels)	Average validation precision SD (pixels)	Average validation precision RMS (pixels)	Eyetracker timestamp	Event	Event value	Event parameters	Row number	Gaze point X	Gaze point Y	Gaze point left X	Gaze point left Y	Gaze point right X	Gaze point right Y	Gaze direction left X	Gaze direction left Y	Gaze direction left Z	Gaze direction right X	Gaze direction right Y	Gaze direction right Z	Pupil diameter left	Pupil diameter right	Pupil diameter filtered	Validity left	Validity right	Eye position left X (DACSmm)	Eye position left Y (DACSmm)	Eye position left Z (DACSmm)	Eye position right X (DACSmm)	Eye position right Y (DACSmm)	Eye position right Z (DACSmm)	Gaze point left X (DACSmm)	Gaze point left Y (DACSmm)	Gaze point right X (DACSmm)	Gaze point right Y (DACSmm)	Gaze point X (MCSnorm)	Gaze point Y (MCSnorm)	Gaze point left X (MCSnorm)	Gaze point left Y (MCSnorm)	Gaze point right X (MCSnorm)	Gaze point right Y (MCSnorm)	Stimulus template name	Eye movement type	Gaze event duration	Eye movement type index	Fixation point X	Fixation point Y	Fixation point X (MCSnorm)	Fixation point Y (MCSnorm)	Mouse position X	Mouse position Y
161073	75081454061		Project1	2024/01/29	wakita1	Recording1		2024/01/29	2024/01/29	12:02:16.317	03:02:16.317	48230	Tobii I-VT (Fixation)	1.232.52758	1080	1920	10.00	152.3	111.9	139.4	13.56	9.19	11.51	487	358	446	99.0	94.0	115.0	8.55	7.43	9.01	317	301	368		Eye tracker Calibration start	Calibration																																					Fixation	279	1	1148	-90				
166228	75081459216	Eye Tracker	Project1	2024/01/29	wakita1	Recording1		2024/01/29	2024/01/29	12:02:16.317	03:02:16.317	48230	Tobii I-VT (Fixation)	1.232.52758	1080	1920	10.00	152.3	111.9	139.4	13.56	9.19	11.51	487	358	446	99.0	94.0	115.0	8.55	7.43	9.01	317	301	368	1606073819					1143	-87	1143	-87			0.14962	0.04380	-0.98777				3.705		3.706	Valid	Invalid	275.4	-56.2	541.0				357.3	-32.2									Calibration	Fixation	279	1	1148	-90				
174561	75081467549	Eye Tracker	Project1	2024/01/29	wakita1	Recording1		2024/01/29	2024/01/29	12:02:16.317	03:02:16.317	48230	Tobii I-VT (Fixation)	1.232.52758	1080	1920	10.00	152.3	111.9	139.4	13.56	9.19	11.51	487	358	446	99.0	94.0	115.0	8.55	7.43	9.01	317	301	368	1606082152					1149	-94	1149	-94			0.15268	0.03938	-0.98749				3.709		3.705	Valid	Invalid	275.4	-56.2	541.1				359.0	-34.7									Calibration	Fixation	279	1	1148	-90				
182895	75081475883	Eye Tracker	Project1	2024/01/29	wakita1	Recording1		2024/01/29	2024/01/29	12:02:16.317	03:02:16.317	48230	Tobii I-VT (Fixation)	1.232.52758	1080	1920	10.00	152.3	111.9	139.4	13.56	9.19	11.51	487	358	446	99.0	94.0	115.0	8.55	7.43	9.01	317	301	368	1606090486					1154	-91	1154	-91			0.15541	0.04089	-0.98700				3.703		3.704	Valid	Invalid	275.4	-56.1	541.0				360.5	-33.7									Calibration	Fixation	279	1	1148	-90				
191228	75081484216	Eye Tracker	Project1	2024/01/29	wakita1	Recording1		2024/01/29	2024/01/29	12:02:16.317	03:02:16.317	48230	Tobii I-VT (Fixation)	1.232.52758	1080	1920	10.00	152.3	111.9	139.4	13.56	9.19	11.51	487	358	446	99.0	94.0	115.0	8.55	7.43	9.01	317	301	368	1606098819					1155	-94	1155	-94			0.15614	0.03910	-0.98696				3.704		3.704	Valid	Invalid	275.3	-56.1	541.0				360.9	-34.7									Calibration	Fixation	279	1	1148	-90				
199562	75081492550	Eye Tracker	Project1	2024/01/29	wakita1	Recording1		2024/01/29	2024/01/29	12:02:16.317	03:02:16.317	48230	Tobii I-VT (Fixation)	1.232.52758	1080	1920	10.00	152.3	111.9	139.4	13.56	9.19	11.51	487	358	446	99.0	94.0	115.0	8.55	7.43	9.01	317	301	368	1606107153					1155	-89	1155	-89			0.15629	0.04246	-0.98680				3.699		3.703	Valid	Invalid	275.3	-56.1	540.9				361.0	-32.8									Calibration	Fixation	279	1	1148	-90				
207895	75081500883	Eye Tracker	Project1	2024/01/29	wakita1	Recording1		2024/01/29	2024/01/29	12:02:16.317	03:02:16.317	48230	Tobii I-VT (Fixation)	1.232.52758	1080	1920	10.00	152.3	111.9	139.4	13.56	9.19	11.51	487	358	446	99.0	94.0	115.0	8.55	7.43	9.01	317	301	368	1606115486					1156	-92	1156	-92			0.15702	0.04038	-0.98677				3.704		3.703	Valid	Invalid	275.3	-56.1	540.9				361.4	-33.9									Calibration	Fixation	279	1	1148	-90				
216227	75081509215	Eye Tracker	Project1	2024/01/29	wakita1	Recording1		2024/01/29	2024/01/29	12:02:16.317	03:02:16.317	48230	Tobii I-VT (Fixation)	1.232.52758	1080	1920	10.00	152.3	111.9	139.4	13.56	9.19	11.51	487	358	446	99.0	94.0	115.0	8.55	7.43	9.01	317	301	368	1606123819					1155	-87	1155	-87			0.15637	0.04317	-0.98675				3.698		3.699	Valid	Invalid	275.3	-56.0	540.9				361.0	-32.4									Calibration	Fixation	279	1	1148	-90				
224561	75081517549	Eye Tracker	Project1	2024/01/29	wakita1	Recording1		2024/01/29	2024/01/29	12:02:16.317	03:02:16.317	48230	Tobii I-VT (Fixation)	1.232.52758	1080	1920	10.00	152.3	111.9	139.4	13.56	9.19	11.51	487	358	446	99.0	94.0	115.0	8.55	7.43	9.01	317	301	368	1606132153					1162	-84	1162	-84			0.16028	0.04543	-0.98603				3.703		3.698	Valid	Invalid	275.3	-56.0	540.8				363.2	-31.1									Calibration	Fixation	279	1	1148	-90				
232894	75081525882	Eye Tracker	Project1	2024/01/29	wakita1	Recording1		2024/01/29	2024/01/29	12:02:16.317	03:02:16.317	48230	Tobii I-VT (Fixation)	1.232.52758	1080	1920	10.00	152.3	111.9	139.4	13.56	9.19	11.51	487	358	446	99.0	94.0	115.0	8.55	7.43	9.01	317	301	368	1606140486					1161	-85	1161	-85			0.15936	0.04482	-0.98620				3.695		3.697	Valid	Invalid	275.3	-56.0	540.8				362.7	-31.4									Calibration	Fixation	279	1	1148	-90				
