Var1,Var2
172.1,837
172.9,801
173.7,793
174.5,824
175.4,836
176.2,855
177,776
177.7,757
178.5,733
179.2,735
179.9,724
180.7,731
181.5,795
182.2,764
183,795
183.9,890
184.8,928
185.8,937
186.6,858
187.5,874
188.4,881
189.3,869
190.1,836
191,886
191.9,913
192.8,902
193.6,839
194.5,881
195.4,871
196.2,854
197,799
197.8,799
198.6,752
199.4,790
200.2,824
201,816
201.8,761
202.6,800
203.4,792
204.1,737
204.8,743
205.6,745
206.3,736
207,720
207.7,685
208.4,706
209.2,731
210,783
210.8,847
211.6,838
212.5,869
213.4,914
214.4,928
215.3,900
216.2,907
217,864
217.9,837
218.7,855
219.6,886
220.5,882
221.3,841
222.2,883
223.1,906
224,877
224.8,802
225.7,863
226.6,913
227.5,907
228.3,845
229.2,860
230.1,876
230.9,877
231.7,809
232.6,842
233.4,857
234.3,889
235.1,821
236,854
236.9,866
237.7,867
238.6,819
239.4,854
240.3,861
241.1,851
241.9,777
242.7,808
243.5,832
244.4,830
245.2,799
246,835
246.8,839
247.7,849
248.5,781
249.3,819
250.1,831
251,848
251.8,791
252.6,803
253.3,765
254.1,775
254.9,788
255.7,759
256.4,739
257.1,720
257.8,727
258.6,719
259.3,717
260,773
260.9,830
261.7,854
262.5,807
263.3,780
264.1,808
264.9,819
265.8,814
266.5,745
267.3,756
268,794
268.9,840
269.7,838
270.5,785
271.3,812
272.1,793
272.9,778
273.6,735
274.4,748
275.1,756
275.9,775
276.7,801
277.5,801
278.3,795
279.1,815
280,834
280.8,814
281.6,783
282.4,813
283.2,826
284,839
284.8,797
285.6,789
286.4,821
287.3,823
288.1,826
288.9,792
289.7,833
290.5,811
291.2,729
292,717
292.7,732
293.4,751
294.2,744
294.9,716
295.7,774
296.5,784
297.2,780
298,737
298.7,752
299.5,758
300.3,770
301,741
301.7,714
302.4,730
303.2,736
303.9,746
304.7,727
305.5,803
306.3,844
307.2,904
308.1,844
308.9,867
309.8,878
310.7,882
311.5,833
312.3,805
313.1,826
314,829
314.8,790
315.6,836
316.4,816
317.2,738
317.9,767
318.7,808
319.6,870
320.4,820
321.3,852
322.1,877
323,846
323.8,789
324.6,855
325.5,878
326.4,842
327.1,785
328,857
328.9,885
329.7,859
330.6,840
331.5,901
332.4,893
333.2,820
334,841
334.9,866
335.8,859
336.6,817
337.4,872
338.4,908
339.2,857
340,787
340.8,807
341.6,813
342.4,805
343.2,778
344,788
344.8,814
345.7,858
346.5,857
347.3,821
348.2,876
349.1,884
350,876
350.8,785
351.6,829
352.5,884
353.4,940
354.3,910
355.2,918
356.2,939
357.1,929
358,891
358.9,919
359.8,913
360.7,861
361.6,876
362.5,913
363.4,888
364.3,899
365.2,949
366.2,961
367.1,903
368,890
368.9,895
369.8,903
370.6,850
371.5,866
372.4,908
373.3,917
374.2,875
375.1,920
376,925
376.9,887
377.8,861
378.7,897
379.6,910
380.4,847
381.3,877
382.2,914
383.1,912
384,839
384.8,828
385.7,863
386.6,884
387.4,865
388.3,874
389.2,924
390.2,943
391,883
392,913
392.9,919
393.8,885
394.6,846
395.5,877
396.4,884
397.2,831
398,827
398.9,842
399.7,814
400.4,741
401.2,766
401.9,728
402.6,704
403.3,697
404,686
404.8,754
405.6,851
406.5,889
407.4,849
408.2,876
409.1,876
409.9,831
410.7,826
411.6,829
412.4,816
413.2,793
414,845
414.9,828
415.8,954
416.9,1031
417.9,1035
418.8,961
419.8,941
420.7,900
421.5,783
422.3,798
423.1,803
423.9,836
424.7,811
425.5,810
426.4,923
427.4,983
428.4,964
429.3,900
430.3,961
431.3,1006
432.2,945
433,820
433.9,834
434.7,864
435.6,899
436.5,856
437.4,957
438.4,952
439.3,897
440.1,859
441,856
441.9,865
442.7,828
443.5,809
444.4,859
445.2,869
446.1,842
446.9,786
447.7,840
448.5,850
449.4,849
582,801
582.8,841
584.4,786
586.8,863
589.2,803
591.6,757
593.9,784
596.4,888
599.3,942
602,925
604.6,920
607.7,1039
610.9,997
613.8,984
616.8,1119
