TempID,10020912,RRI Analyzer Ver1.0.49,âêÕÉâÉCÉuÉâÉä Ver1.1.3
RRI
acc_mode,
Time,RRI,temperature,Acc_x,Acc_y,Acc_z,HR_Instant,Body Motion
2024/01/28 14:43:08.947,699,33.0625,0.09375,-1.0625,-0.0625,85,0.06845756
2024/01/28 14:43:09.624,679,33.0625,0.125,-1.03125,-0.0625,88,0.04067661
2024/01/28 14:43:10.320,699,33.0625,0.125,-1.0625,-0.03125,85,0.07028399
2024/01/28 14:43:11.035,718,33.0625,0.125,-1.0625,-0.0625,83,0.07165176
2024/01/28 14:43:11.758,720,33.0625,0.125,-1.0625,-0.0625,83,0.07165176
2024/01/28 14:43:12.466,706,33.0625,0.125,-1.0625,-0.0625,84,0.07165176
2024/01/28 14:43:13.148,680,33.0625,0.125,-1.03125,-0.0625,88,0.04067661
2024/01/28 14:43:13.838,691,33.0625,0.125,-1.0625,-0.03125,86,0.07028399
2024/01/28 14:43:14.525,688,33.0625,0.09375,-1.0625,-0.0625,87,0.06845756
2024/01/28 14:43:15.237,713,33.0625,0.125,-1.0625,-0.0625,84,0.07165176
2024/01/28 14:43:15.940,698,33,0.125,-1.0625,-0.0625,85,0.07165176
2024/01/28 14:43:16.613,667,33,0.125,-1.0625,-0.0625,89,0.07165176
2024/01/28 14:43:17.292,673,33,0.125,-1.0625,-0.03125,89,0.07028399
2024/01/28 14:43:17.966,680,33,0.09375,-1.0625,-0.0625,88,0.06845756
2024/01/28 14:43:18.677,716,33,0.125,-1.0625,-0.0625,83,0.07165176
2024/01/28 14:43:19.379,707,33,0.125,-1.0625,-0.0625,84,0.07165176
2024/01/28 14:43:20.093,715,33.0625,0.125,-1.0625,-0.0625,83,0.07165176
2024/01/28 14:43:20.772,681,33.0625,0.125,-1.0625,-0.0625,88,0.07165176
2024/01/28 14:43:21.468,698,33.0625,0.125,-1.0625,-0.0625,85,0.07165176
2024/01/28 14:43:22.186,717,33.0625,0.125,-1.0625,-0.0625,83,0.07165176
2024/01/28 14:43:22.891,704,33.0625,0.125,-1.0625,-0.0625,85,0.07165176
2024/01/28 14:43:23.589,697,33.0625,0.125,-1.0625,-0.0625,86,0.07165176
2024/01/28 14:43:24.253,663,33.0625,0.125,-1.03125,-0.03125,90,0.03926807
2024/01/28 14:43:24.930,675,33.0625,0.125,-1.0625,-0.0625,88,0.07165176
2024/01/28 14:43:25.597,665,33.0625,0.125,-1.03125,-0.0625,90,0.04067661
2024/01/28 14:43:26.269,675,33.0625,0.125,-1.0625,-0.0625,88,0.07165176
2024/01/28 14:43:26.928,661,33.0625,0.125,-1.0625,-0.0625,90,0.07165176
2024/01/28 14:43:27.572,646,33.0625,0.125,-1.0625,-0.0625,92,0.07165176
2024/01/28 14:43:28.224,653,33,0.125,-1.0625,-0.0625,91,0.07165176
2024/01/28 14:43:28.881,658,33,0.125,-1.03125,-0.03125,91,0.03926807
2024/01/28 14:43:29.547,667,33,0.125,-1.0625,-0.0625,89,0.07165176
2024/01/28 14:43:30.244,695,33,0.125,-1.0625,-0.0625,86,0.07165176
2024/01/28 14:43:30.944,699,33,0.125,-1.0625,-0.0625,85,0.07165176
2024/01/28 14:43:31.612,667,33,0.125,-1.0625,-0.0625,89,0.07165176
2024/01/28 14:43:32.289,676,33.0625,0.125,-1.0625,-0.03125,88,0.07028399
2024/01/28 14:43:32.991,701,33.0625,0.125,-1.0625,-0.0625,85,0.07165176
2024/01/28 14:43:33.708,716,33.0625,0.125,-1.0625,-0.0625,83,0.07165176
2024/01/28 14:43:34.429,721,33.0625,0.125,-1.0625,-0.0625,83,0.07165176
2024/01/28 14:43:35.112,683,33.0625,0.125,-1.03125,-0.0625,87,0.04067661
2024/01/28 14:43:35.787,675,33.0625,0.125,-1.0625,-0.03125,88,0.07028399
2024/01/28 14:43:36.452,665,33.0625,0.125,-1.0625,-0.03125,90,0.07028399
2024/01/28 14:43:37.130,679,33.0625,0.125,-1.03125,-0.0625,88,0.04067661
2024/01/28 14:43:37.827,698,33.0625,0.125,-1.0625,-0.0625,85,0.07165176
2024/01/28 14:43:38.533,705,33.0625,0.09375,-1.0625,-0.0625,85,0.06845756
2024/01/28 14:43:39.213,680,33.0625,0.125,-1.0625,-0.03125,88,0.07028399
2024/01/28 14:43:39.891,678,33.125,0.125,-1.03125,-0.0625,88,0.04067661
2024/01/28 14:43:40.590,699,33.125,0.125,-1.0625,-0.0625,85,0.07165176
2024/01/28 14:43:41.310,721,33.125,0.125,-1.0625,-0.0625,83,0.07165176
2024/01/28 14:43:42.045,736,33.125,0.125,-1.0625,-0.0625,81,0.07165176
2024/01/28 14:43:42.729,686,33.125,0.125,-1.0625,-0.0625,87,0.07165176
2024/01/28 14:43:43.408,680,33.125,0.125,-1.0625,-0.0625,88,0.07165176
2024/01/28 14:43:44.123,716,33.0625,0.125,-1.0625,-0.0625,83,0.07165176
2024/01/28 14:43:44.844,719,33.0625,0.125,-1.0625,-0.0625,83,0.07165176
2024/01/28 14:43:45.567,722,33.0625,0.125,-1.0625,-0.0625,83,0.07165176
2024/01/28 14:43:46.252,684,33.0625,0.09375,-1.0625,-0.0625,87,0.06845756
2024/01/28 14:43:46.951,699,33.0625,0.125,-1.0625,-0.03125,85,0.07028399
2024/01/28 14:43:47.667,716,33.0625,0.125,-1.0625,-0.0625,83,0.07165176
2024/01/28 14:43:48.371,704,33.0625,0.125,-1.0625,-0.0625,85,0.07165176
2024/01/28 14:43:49.079,705,33.0625,0.09375,-1.03125,-0.0625,85,0.03738704
2024/01/28 14:43:49.763,682,33.0625,0.125,-1.0625,-0.03125,87,0.07028399
2024/01/28 14:43:50.459,694,33.0625,0.125,-1.03125,-0.03125,86,0.03926807
2024/01/28 14:43:51.182,720,33.0625,0.125,-1.0625,-0.0625,83,0.07165176
2024/01/28 14:43:51.907,723,33.125,0.09375,-1.0625,-0.0625,82,0.06845756
2024/01/28 14:43:52.650,741,33.125,0.125,-1.0625,-0.0625,80,0.07165176
2024/01/28 14:43:53.365,719,33.125,0.125,-1.0625,-0.0625,83,0.07165176
2024/01/28 14:43:54.043,683,33.125,0.125,-1.0625,-0.0625,87,0.07165176
2024/01/28 14:43:54.757,719,33.125,0.125,-1.0625,-0.0625,83,0.07165176
2024/01/28 14:43:55.482,722,33.125,0.125,-1.0625,-0.0625,83,0.07165176
2024/01/28 14:43:56.227,741,33.125,0.125,-1.0625,-0.0625,80,0.07165176
2024/01/28 14:43:56.956,725,33.125,0.125,-1.0625,-0.0625,82,0.07165176
