Time,RRI,HR
12641,928.651741293533,64.6097964737837
12641.5,928.900497512439,64.5924942022077
12642,929.149253731344,64.5752011951231
12642.5,929.398009950249,64.5579174450909
12643,929.646766169155,64.5406429446802
12643.5,929.89552238806,64.5233776864677
12644,930.144278606966,64.5061216630384
12644.5,930.393034825871,64.488874866985
12645,930.641791044777,64.4716372909082
12645.5,930.890547263682,64.4544089274166
12646,931.139303482588,64.4371897691267
12646.5,931.388059701493,64.419979808663
12647,931.636815920399,64.4027790386576
12647.5,931.885572139304,64.3855874517508
12648,932.13432835821,64.3684050405905
12648.5,932.383084577115,64.3512317978325
12649,932.631840796021,64.3340677161405
12649.5,932.880597014926,64.3169127881861
12650,933.129353233832,64.2997670066485
12650.5,933.378109452737,64.2826303642149
12651,933.626865671643,64.2655028535801
12651.5,933.875621890548,64.2483844674469
12652,934.124378109453,64.2312751985257
12652.5,934.373134328359,64.2141750395348
12653,934.621890547264,64.1970839832001
12653.5,934.87064676617,64.1800020222554
12654,934.956850053937,64.1740846077962
12654.5,934.866954332973,64.1802555132671
12655,934.77705861201,64.1864276056262
12655.5,934.687162891046,64.1926008852162
12656,934.597267170082,64.1987753523796
12656.5,934.507371449119,64.204951007459
12657,934.417475728155,64.2111278507975
12657.5,934.327580007191,64.2173058827378
12658,934.237684286228,64.2234851036232
12658.5,934.147788565264,64.2296655137969
12659,934.0578928443,64.2358471136023
12659.5,933.967997123337,64.2420299033829
12660,933.878101402373,64.2482138834823
12660.5,933.788205681409,64.2543990542443
12661,933.698309960446,64.2605854160128
12661.5,933.608414239482,64.2667729691319
12662,933.518518518518,64.2729617139457
12662.5,933.428622797555,64.2791516507985
12663,933.338727076591,64.2853427800348
12663.5,933.248831355627,64.2915351019992
12664,933.158935634664,64.2977286170363
12664.5,933.0690399137,64.3039233254909
12665,932.979144192736,64.3101192277082
12665.5,932.889248471773,64.3163163240331
12666,932.799352750809,64.3225146148109
12666.5,932.709457029845,64.3287141003869
12667,932.619561308882,64.3349147811067
12667.5,932.529665587918,64.3411166573159
12668,932.439769866954,64.3473197293603
12668.5,932.34987414599,64.3535239975857
12669,932.259978425027,64.3597294623382
12669.5,932.170082704063,64.365936123964
12670,932.0801869831,64.3721439828094
12670.5,931.990291262136,64.3783530392208
12671,931.900395541172,64.3845632935448
12671.5,931.810499820208,64.390774746128
12672,931.720604099245,64.3969873973174
12672.5,931.630708378281,64.4032012474598
12673,931.540812657317,64.4094162969025
12673.5,931.450916936354,64.4156325459926
12674,931.36102121539,64.4218499950775
12674.5,931.271125494426,64.4280686445046
12675,931.181229773463,64.4342884946218
12675.5,931.091334052499,64.4405095457767
12676,931.001438331535,64.4467317983172
12676.5,930.911542610572,64.4529552525914
12677,930.821646889608,64.4591799089475
12677.5,930.731751168644,64.4654057677337
12678,930.641855447681,64.4716328292985
12678.5,930.551959726717,64.4778610939906
12679,930.462064005753,64.4840905621586
12679.5,930.372168284789,64.4903212341514
12680,930.282272563826,64.4965531103179
12680.5,930.192376842862,64.5027861910073
12681,930.102481121899,64.5090204765688
12681.5,930.012585400935,64.5152559673519
12682,929.922689679971,64.521492663706
12682.5,929.832793959008,64.5277305659808
12683,929.742898238044,64.5339696745262
12683.5,929.65300251708,64.540209989692
12684,929.563106796116,64.5464515118283
12684.5,929.473211075153,64.5526942412853
12685,929.383315354189,64.5589381784134
12685.5,929.293419633226,64.565183323563
12686,929.203523912262,64.5714296770848
12686.5,929.113628191298,64.5776772393295
12687,929.023732470334,64.5839260106479
12687.5,928.933836749371,64.5901759913911
12688,928.843941028407,64.5964271819102
12688.5,928.754045307443,64.6026795825566
12689,928.66414958648,64.6089331936816
12689.5,928.574253865516,64.6151880156368
12690,928.484358144552,64.621444048774
12690.5,928.394462423589,64.6277012934448
12691,928.304566702625,64.6339597500015
12691.5,928.214670981661,64.6402194187959
12692,928.124775260698,64.6464803001803
12692.5,928.034879539734,64.6527423945073
12693,927.94498381877,64.6590057021291
12693.5,927.855088097807,64.6652702233986
12694,927.765192376843,64.6715359586685
12694.5,927.675296655879,64.6778029082917
12695,927.585400934916,64.6840710726213
12695.5,927.495505213952,64.6903404520105
12696,927.405609492988,64.6966110468126
12696.5,927.315713772025,64.702882857381
12697,927.225818051061,64.7091558840695
